Location ID,Location No,Location Id,Street Number/Street Name,Street Id,Locality,State,Zip Code
15,28300,S,FEDERAL,HWY,Homestead,FL,330331315
25,0,,SW 284 ST & US 1,,Homestead,FL,330300000
35,15364,SW,282,ST,Homestead,FL,330331303
45,15368,SW,282,ST,Homestead,FL,330331303
55,15370,SW,282,ST,Homestead,FL,330331303
65,15364,SW,282,ST,Homestead,FL,330331303
75,15366,SW,282,ST,Homestead,FL,330331303
85,15378,SW,282,ST,Homestead,FL,330331303
95,15372,SW,282,ST,Homestead,FL,330331303
105,15374,SW,282,ST,Homestead,FL,330331303
115,15376,SW,282,ST,Homestead,FL,330331303
125,15380,SW,282,ST,Homestead,FL,330331303
135,15380,SW,282,ST,Homestead,FL,330331303
145,15384,SW,282,ST,Homestead,FL,330331303
155,15386,SW,282,ST,Homestead,FL,330331303
165,15390,SW,282,ST,Homestead,FL,330331303
175,15388,SW,282,ST,Homestead,FL,330331303
185,15382,SW,282,ST,Homestead,FL,330331303
195,28341,SW,154,AVE,Homestead,FL,330331301
205,28345,SW,154,AVE,Homestead,FL,330331301
215,28347,SW,154,AVE,Homestead,FL,330331301
225,28343,SW,154,AVE,Homestead,FL,330331301
235,28341,SW,154,AVE,Homestead,FL,330331301
245,28351,SW,154,AVE,Homestead,FL,330331301
255,28349,SW,154,AVE,Homestead,FL,330331301
265,28353,SW,154,AVE,Homestead,FL,330331301
275,28355,SW,154,AVE,Homestead,FL,330331301
285,28357,SW,154,AVE,Homestead,FL,330331301
295,28367,SW,154,AVE,Homestead,FL,330331301
305,28363,SW,154,AVE,Homestead,FL,330331301
315,28361,SW,154,AVE,Homestead,FL,330331301
325,28359,SW,154,AVE,Homestead,FL,330331301
335,28371,SW,154,AVE,Homestead,FL,330331301
345,28365,SW,154,AVE,Homestead,FL,330331301
355,28357,SW,154,AVE,Homestead,FL,330331301
365,28369,SW,154,AVE,Homestead,FL,330331301
375,15365,SW,284,ST,Homestead,FL,330331304
385,15369,SW,284,ST,Homestead,FL,330331304
395,15371,SW,284,ST,Homestead,FL,330331304
405,15367,SW,284,ST,Homestead,FL,330331304
415,15365,SW,284,ST,Homestead,FL,330331304
425,15349,SW,284,ST,Homestead,FL,330331304
435,15349,SW,284,ST,Homestead,FL,330301304
445,15361,SW,284,ST,Homestead,FL,330331304
455,15351,SW,284,ST,Homestead,FL,330331304
465,15363,SW,284,ST,Homestead,FL,330331304
475,15357,SW,284,ST,Homestead,FL,330331304
485,15355,SW,284,ST,Homestead,FL,330331304
495,15359,SW,284,ST,Homestead,FL,330331304
505,15353,SW,284,ST,Homestead,FL,330331304
515,15341,SW,284,ST,Homestead,FL,330331304
525,15343,SW,284,ST,Homestead,FL,330331304
535,15345,SW,284,ST,Homestead,FL,330331304
545,15347,SW,284,ST,Homestead,FL,330331304
555,15341,SW,284,ST,Homestead,FL,330331304
565,15317,SW,284,ST,Homestead,FL,330331304
575,15321,SW,284,ST,Homestead,FL,330331304
585,15331,SW,284,ST,Homestead,FL,330331304
595,15329,SW,284,ST,Homestead,FL,330301304
605,15333,SW,284,ST,Homestead,FL,330331304
615,15317,SW,284,ST,Homestead,FL,330301304
625,15325,SW,284,ST,Homestead,FL,330331304
635,15323,SW,284,ST,Homestead,FL,330331304
645,15327,SW,284,ST,Homestead,FL,330331304
655,15337,SW,284,ST,Homestead,FL,330331304
665,15339,SW,284,ST,Homestead,FL,330331304
675,15319,SW,284,ST,Homestead,FL,330331304
685,15335,SW,284,ST,Homestead,FL,330331351
695,15301,SW,284,ST,Homestead,FL,330331304
705,15301,SW,284,ST,Homestead,FL,330331304
715,15315,SW,284,ST,Homestead,FL,330331304
725,15303,SW,284,ST,Homestead,FL,330331304
735,15313,SW,284,ST,Homestead,FL,330331304
745,15311,SW,284,ST,Homestead,FL,330331304
755,15305,SW,284,ST,Homestead,FL,330331304
765,15309,SW,284,ST,Homestead,FL,330331304
775,15307,SW,284,ST,Homestead,FL,330331304
785,28350,SW,153,AVE,Homestead,FL,330331414
795,28356,SW,153,AVE,Homestead,FL,330331433
805,28354,SW,153,AVE,Homestead,FL,330331414
815,28350,SW,153,AVE,Homestead,FL,330331414
825,28352,SW,153,AVE,Homestead,FL,330331414
835,28324,SW,153,AVE,Homestead,FL,330331414
845,28324,SW,153,AVE,Homestead,FL,330331414
855,28328,SW,153,AVE,Homestead,FL,330331433
875,28334,SW,153,AVE,Homestead,FL,330331414
885,28344,SW,153,AVE,Homestead,FL,330331414
905,28330,SW,153,AVE,Homestead,FL,330331414
915,28342,SW,153,AVE,Homestead,FL,330331414
925,28336,SW,153,AVE,Homestead,FL,330331414
935,28338,SW,153,AVE,Homestead,FL,330331414
945,28340,SW,153,AVE,Homestead,FL,330331414
955,28346,SW,153,AVE,Homestead,FL,330331414
965,28300,SW,153,AVE,Homestead,FL,330331414
975,28302,SW,153,AVE,Homestead,FL,330331414
985,28310,SW,153,AVE,Homestead,FL,330331414
995,28304,SW,153,AVE,Homestead,FL,330331414
1005,28300,SW,153,AVE,Homestead,FL,330331414
1015,28322,SW,153,AVE,Homestead,FL,330331414
1025,28312,SW,153,AVE,Homestead,FL,330331414
1035,28314,SW,153,AVE,Homestead,FL,330331414
1045,28308,SW,153,AVE,Homestead,FL,330331414
1055,28316,SW,153,AVE,Homestead,FL,330331414
1065,28318,SW,153,AVE,Homestead,FL,330331414
1075,28306,SW,153,AVE,Homestead,FL,330331414
1085,28320,SW,153,AVE,Homestead,FL,330331414
1095,15302,SW,282,ST,Homestead,FL,330331360
1105,15316,SW,282,ST,Homestead,FL,330331303
1115,15314,SW,282,ST,Homestead,FL,330331303
1125,15312,SW,282,ST,Homestead,FL,330331303
1135,15310,SW,282,ST,Homestead,FL,330331303
1145,15304,SW,282,ST,Homestead,FL,330331303
1155,15308,SW,282,ST,Homestead,FL,330331303
1165,15306,SW,282,ST,Homestead,FL,330331303
1175,15302,SW,282,ST,Homestead,FL,330331303
1185,15318,SW,282,ST,Homestead,FL,330331360
1195,15318,SW,282,ST,Homestead,FL,330331303
1205,15320,SW,282,ST,Homestead,FL,330331303
1215,15324,SW,282,ST,Homestead,FL,330331303
1225,15322,SW,282,ST,Homestead,FL,330331303
1235,15326,SW,282,ST,Homestead,FL,330331303
1245,15326,SW,282,ST,Homestead,FL,330331303
1255,15330,SW,282,ST,Homestead,FL,330331303
1265,15328,SW,282,ST,Homestead,FL,330331303
1275,15332,SW,282,ST,Homestead,FL,330331303
1285,15334,SW,282,ST,Homestead,FL,330331303
1295,15338,SW,282,ST,Homestead,FL,330331303
1305,15336,SW,282,ST,Homestead,FL,330331303
1315,15340,SW,282,ST,Homestead,FL,330331303
1325,15305,SW,282,ST,Homestead,FL,330331302
1335,15352,SW,282,ST,Homestead,FL,330331303
1345,15362,SW,282,ST,Homestead,FL,330331303
1355,15360,SW,282,ST,Homestead,FL,330331303
1365,15354,SW,282,ST,Homestead,FL,330331303
1375,15352,SW,282,ST,Homestead,FL,330331303
1385,15356,SW,282,ST,Homestead,FL,330331303
1395,15358,SW,282,ST,Homestead,FL,330331303
1405,28152,SW,153,AVE,Homestead,FL,330331413
1415,28150,SW,153,AVE,Homestead,FL,330331413
1425,28150,SW,153,AVE,Homestead,FL,330331413
1435,15315,SW,282,ST,Homestead,FL,330331302
1445,15317,SW,282,ST,Homestead,FL,330331302
1465,15327,SW,282,ST,Homestead,FL,330331302
1475,15325,SW,282,ST,Homestead,FL,330331302
1485,967,N,HOMESTEAD,BLVD,Homestead,FL,330305026
1495,28199,S,DIXIE,HWY,Homestead,FL,330331310
1515,28199,S,DIXIE,HWY,Homestead,FL,330331310
1535,28001,S,FEDERAL,HWY,Homestead,FL,330331308
1545,28100,SW,152,AVE,Homestead,FL,330331409
1555,28140,SW,152,AVE,Homestead,FL,330331409
1565,28300,SW,152,AVE,Homestead,FL,330331412
1575,28450,SW,152,AVE,Homestead,FL,330331416
1595,28475,S,FEDERAL,HWY,Homestead,FL,330331210
1625,0,,HARRIS FIELD & US 1,,Homestead,FL,330330000
1635,0,SW,157 AVE & 288 ST,,Homestead,FL,330330000
1645,28790,S,FEDERAL,HWY,Homestead,FL,330331233
1655,28700,SW,157,AVE,Homestead,FL,330331209
1665,15700,SW,288,ST,Homestead,FL,330331224
1685,28655,SW,157,AVE,Homestead,FL,330331234
